GEM location ID,bus_id
L100000917048,way/1127651311-765
L100000917049,way/1127651311-765
L100000917050,way/1127651311-765
L100000917051,way/1127651311-765
L100000917052,way/1127651311-765
L100000917053,way/1127651311-765
L100000917054,way/1127651311-765
L100000917056,way/1001700959-765
L100000917057,way/492377703-765
L100000917058,way/1001700959-765
L100000917059,way/1001700959-765
L100000917060,way/1127651311-765
L100000917061,way/608461884-765
L100000917062,way/608461884-765
L100000917063,way/608461884-765
L100000917065,way/492377703-765
L100000917066,way/492377703-765
L100000917067,way/492377703-765
L100000917068,way/355560316-765
L100000917069,way/492377703-765
L100000917070,way/492377703-765
L100000917071,way/355560316-765
L100000917072,way/331275940-765
L100000917073,IN642-765
L100000917074,way/408924420-765
L100000917075,way/429459345-765
L100000917076,way/688672711-765
L100000917078,way/688672711-765
L100000917079,way/688672711-765
L100000917080,way/688672711-765
L100000917081,way/688672711-765
L100000917082,way/688672711-765
L100000917083,way/688672711-765
L100000917084,way/453513742-765
L100000917085,way/453513742-765
L100000917086,way/1001700959-765
L100000917087,way/1001700959-765
L100000917088,way/1001700959-765
L100000917089,way/1001700959-765
L100000917090,way/386018740-765
L100000917091,way/1127651311-765
L100000917092,way/514344408-765
L100000917093,way/514344408-765
L100000917094,way/514344408-765
L100000917095,way/514344408-765
L100000917096,way/386153973-765
L100000917097,way/514344408-765
L100000917098,way/514344408-765
L100000917099,way/1001700959-765
L100000917100,way/631917408-765
L100000917102,way/1127651311-765
